,POS,count,session,book
159,UH,1.431162790697675,5,False
160,PDT,0.10767441860465114,5,False
161,TO,3.0530232558139545,5,False
162,PRP$,2.0609302325581407,5,False
163,RP,1.1632558139534888,5,False
164,JJR,0.2713953488372093,5,False
165,RBR,0.12139534883720926,5,False
166,JJS,0.027441860465116284,5,False
167,FW,0.030465116279069785,5,False
168,RBS,0.007441860465116279,5,False
169,NNPS,0.015348837209302328,5,False
170,WP$,0.006046511627906976,5,False
171,SYM,0.00023255813953488373,5,False
172,NN,19.05573033707866,6,False
173,WDT,0.33999999999999997,6,False
174,VBZ,2.8959550561797753,6,False
175,IN,8.058202247191012,6,False
176,DT,8.820224719101123,6,False
177,NNP,4.993932584269665,6,False
178,VBG,2.328314606741573,6,False
179,JJ,7.076404494382025,6,False
180,VBD,2.617303370786518,6,False
181,CC,1.9528089887640456,6,False
182,RB,6.618426966292133,6,False
183,PRP,15.11415730337079,6,False
184,PRP$,2.02808988764045,6,False
185,VB,10.78337078651685,6,False
186,VBN,0.63438202247191,6,False
187,VBP,6.496179775280897,6,False
188,WP,2.1480898876404493,6,False
189,RBR,0.12898876404494372,6,False
190,NNS,2.759550561797754,6,False
191,TO,3.0831460674157327,6,False
192,UH,1.4134831460674162,6,False
193,POS,0.492808988764045,6,False
194,MD,1.504269662921349,6,False
195,WRB,1.1471910112359558,6,False
196,RP,1.1087640449438212,6,False
197,JJS,0.02719101123595505,6,False
198,CD,1.0420224719101125,6,False
199,PDT,0.11528089887640443,6,False
200,EX,0.47213483146067414,6,False
201,JJR,0.2997752808988764,6,False
202,FW,0.041797752808988745,6,False
203,NNPS,0.009887640449438203,6,False
204,RBS,0.00853932584269663,6,False
205,WP$,0.016629213483146065,6,False
206,TO,2.971910112359552,7,False
207,NNP,4.905168539325846,7,False
208,POS,0.5125842696629216,7,False
209,NN,19.45820224719101,7,False
210,CD,1.204044943820225,7,False
211,VB,10.395505617977534,7,False
212,PRP,14.960898876404489,7,False
213,VBD,2.7903370786516866,7,False
214,IN,8.30314606741573,7,False
215,DT,8.89258426966292,7,False
216,JJ,7.353258426966293,7,False
217,VBP,6.428314606741573,7,False
218,MD,1.5105617977528092,7,False
219,UH,1.2685393258426971,7,False
220,CC,2.0015730337078654,7,False
221,NNS,2.6907865168539344,7,False
222,VBZ,2.68921348314607,7,False
223,RB,6.6355056179775245,7,False
224,WP,2.1775280898876415,7,False
225,PRP$,2.0310112359550576,7,False
226,VBG,2.137752808988765,7,False
227,WRB,1.2361797752808992,7,False
228,RP,1.072808988764045,7,False
229,VBN,0.6042696629213484,7,False
230,WDT,0.2923595505617975,7,False
231,PDT,0.12764044943820219,7,False
232,JJS,0.03213483146067413,7,False
233,JJR,0.2867415730337078,7,False
234,EX,0.4768539325842697,7,False
235,RBR,0.12337078651685389,7,False
236,RBS,0.011910112359550563,7,False
237,NNPS,0.014831460674157306,7,False
238,WP$,0.02,7,False
239,FW,0.029438202247191004,7,False
240,JJ,7.353076923076925,8,False
241,WRB,1.3241025641025643,8,False
242,PRP,15.306666666666667,8,False
243,RB,6.631538461538462,8,False
244,VBP,6.513076923076921,8,False
245,NNP,5.031538461538463,8,False
246,VBZ,2.401538461538463,8,False
247,IN,8.27128205128205,8,False
248,DT,8.484871794871793,8,False
249,NN,19.242564102564103,8,False
250,VBG,2.304871794871796,8,False
251,NNS,2.8179487179487186,8,False
252,CC,2.1943589743589764,8,False
253,PRP$,2.1543589743589746,8,False
254,WP,2.172307692307693,8,False
255,VB,10.947948717948712,8,False
256,VBD,2.8128205128205153,8,False
257,MD,1.5264102564102577,8,False
258,CD,1.128717948717949,8,False
259,TO,2.9956410256410284,8,False
260,UH,1.1825641025641034,8,False
261,RP,1.0828205128205128,8,False
262,JJS,0.02487179487179486,8,False
